City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bethel,41.3712,-73.414,56.55,65,100,3.44,US,1731377142
1,ta`u,-14.2336,-169.5144,81.3,72,39,11.36,AS,1731377144
2,bubaque,11.2833,-15.8333,83.88,66,69,7.83,GW,1731377145
3,hasaki,35.7333,140.8333,66.78,57,100,1.68,JP,1731377146
4,thunder bay,48.4001,-89.3168,28.38,80,0,5.75,CA,1731376796
5,hermanus,-34.4187,19.2345,57.79,80,22,4.74,ZA,1731377149
6,waitangi,-43.9535,-176.5597,56.82,69,46,4.0,NZ,1731377150
7,port-vila,-17.7338,168.3219,85.6,58,75,11.5,VU,1731377151
8,kapa'a,22.0752,-159.319,79.12,88,100,14.97,US,1731377152
9,uturoa,-16.7333,-151.4333,79.11,81,83,19.66,PF,1731377153
10,whitby,54.4877,-0.615,49.37,86,99,1.99,GB,1731376907
11,port augusta,-32.5,137.7667,79.52,47,0,3.76,AU,1731377156
12,baracoa,20.3467,-74.4958,80.1,91,93,8.57,CU,1731377157
13,sola,-13.8833,167.55,80.73,72,94,16.51,VU,1731377158
14,blackmans bay,-43.0167,147.3167,72.52,52,0,3.0,AU,1731377159
15,west bay,19.3667,-81.4167,82.47,78,20,3.44,KY,1731377161
16,vadso,70.0744,29.7487,33.96,93,75,10.36,NO,1731377162
17,yellowknife,62.456,-114.3525,18.41,94,100,15.01,CA,1731377127
18,ribeira grande,38.5167,-28.7,69.78,94,100,18.01,PT,1731377164
19,eregli,37.5133,34.0467,44.24,77,13,2.26,TR,1731377165
20,port-aux-francais,-49.35,70.2167,40.98,96,100,18.54,TF,1731377167
21,buckhannon,38.994,-80.232,55.94,69,75,9.22,US,1731377168
22,ugoofaaru,5.6667,73.0,82.53,68,100,4.43,MV,1731377169
23,hamilton,39.1834,-84.5333,56.86,72,75,6.91,US,1731376972
24,addiet canna,11.2667,37.4833,56.59,79,9,4.7,ET,1731377171
25,sinop,41.7711,34.8709,44.1,91,22,1.54,TR,1731377173
26,tura,25.5198,90.2201,71.31,78,1,1.74,IN,1731377174
27,ushuaia,-54.8,-68.3,46.06,81,40,5.75,AR,1731377152
28,chamical,-30.36,-66.314,67.17,48,0,3.27,AR,1731377176
29,armacao de buzios,-22.7469,-41.8817,71.04,83,0,17.45,BR,1731377157
30,bredasdorp,-34.5322,20.0403,56.32,91,36,3.58,ZA,1731377179
31,sitka,57.0531,-135.33,42.69,75,40,4.61,US,1731377180
32,petropavlovsk-kamchatsky,53.0452,158.6483,36.19,44,75,13.42,RU,1731377181
33,levuka,50.1834,-105.4011,42.51,58,99,19.24,CA,1731377183
34,puerto natales,-51.7236,-72.4875,43.9,87,56,11.41,CL,1731376908
35,bengkulu,-3.8004,102.2655,81.52,74,100,1.74,ID,1731377185
36,pacific grove,36.6177,-121.9166,53.65,94,40,3.44,US,1731377186
37,katsuura,35.1333,140.3,68.22,66,85,3.0,JP,1731377188
38,flying fish cove,-10.4217,105.6791,80.28,89,100,12.66,CX,1731377189
39,grytviken,-54.2811,-36.5092,31.66,88,95,12.15,GS,1731377037
40,taroa,8.7058,171.2275,83.01,73,100,7.49,MH,1731377193
41,myanaung,18.2833,95.3167,76.84,84,37,9.73,MM,1731377194
42,jambi city,-1.6,103.6167,81.64,86,100,3.22,ID,1731377195
43,invercargill,-46.4,168.35,60.03,65,92,14.0,NZ,1731377196
44,salinas,36.6777,-121.6555,54.07,95,40,3.44,US,1731377198
45,lazaro cardenas,17.9583,-102.2,79.86,82,29,3.89,MX,1731377199
46,punta arenas,-53.15,-70.9167,48.31,81,75,11.5,CL,1731377200
47,timmins,48.4669,-81.3331,30.02,93,100,16.11,CA,1731377102
48,al bawiti,28.3492,28.8659,57.83,72,49,5.37,EG,1731377202
49,palikir - national government center,6.9248,158.1611,88.65,70,75,11.5,FM,1731377204
50,sheregesh,52.9209,87.9869,16.12,93,100,7.87,RU,1731377205
51,acapulco de juarez,16.8634,-99.8901,84.02,79,20,4.61,MX,1731377113
52,serhiyivka,46.0272,30.3768,47.43,74,100,12.3,UA,1731377207
53,usogorsk,63.4106,48.6872,33.13,98,100,10.89,RU,1731377208
54,albany,42.6001,-73.9662,56.44,62,100,1.99,US,1731377210
55,lihue,21.9789,-159.3672,78.39,86,100,14.97,US,1731377211
56,qaqortoq,60.7167,-46.0333,28.04,79,12,31.54,GL,1731377212
57,mount pearl,47.5166,-52.7813,44.15,91,100,17.27,CA,1731377213
58,iqaluit,63.7506,-68.5145,6.53,85,20,5.75,CA,1731377098
59,talnakh,69.4865,88.3972,-18.58,91,51,1.95,RU,1731377217
60,altinopolis,-21.0256,-47.3739,70.97,64,87,2.28,BR,1731377218
61,corralejo,28.7424,-13.8684,69.51,80,1,14.79,ES,1731377219
62,ilulissat,69.2167,-51.1,24.82,80,100,12.48,GL,1731377221
63,shingu,33.7333,135.9833,70.21,65,46,2.71,JP,1731377222
64,adamstown,-25.066,-130.1015,71.37,64,100,2.84,PN,1731377223
65,ternate,0.8,127.4,84.13,69,59,2.46,ID,1731376947
66,carnarvon,-24.8667,113.6333,76.64,48,93,20.24,AU,1731377225
67,west island,-12.1568,96.8225,78.58,83,52,19.6,CC,1731377227
68,maun,-19.9833,23.4167,69.4,78,100,4.59,BW,1731377228
69,saipan,15.1355,145.701,84.9,84,75,17.27,MP,1731377229
70,salacgriva,57.7536,24.3581,43.56,87,100,9.95,LV,1731377230
71,vallenar,-28.5708,-70.7581,71.15,41,0,2.04,CL,1731377231
72,weno,7.4515,151.8468,78.46,84,100,7.92,FM,1731377232
73,vicente guerrero,19.1194,-98.1708,62.46,48,100,2.75,MX,1731377234
74,nar'yan-mar,67.6713,53.087,14.81,98,89,5.97,RU,1731377235
75,masumbwe,-3.6333,32.1833,65.07,87,99,2.04,TZ,1731377236
76,sorong,-0.8833,131.25,81.14,77,100,3.44,ID,1731377116
77,port elizabeth,-33.918,25.5701,63.32,98,0,10.36,ZA,1731376995
78,kingston,17.997,-76.7936,81.55,83,20,5.75,JM,1731377240
79,college,64.8569,-147.8028,-0.54,79,75,0.0,US,1731377242
